Query,Clicks,Impressions,CTR,Position
fruad,1,86,1.16%,7.31
how to report a scam number canada,1,83,1.20%,6.6
federal economic development agency of southern ontario,1,81,1.23%,4.57
consumer court,1,79,1.27%,9.2
innovation science and technology,1,78,1.28%,1.64
canada consumer complaints,1,75,1.33%,5
ced canada,1,71,1.41%,8.42
report fraud to cra,1,68,1.47%,6.01
centre anti fraude du canada,1,66,1.52%,6.56
canada rda,1,66,1.52%,6.94
report scam,1,65,1.54%,6.23
consumer protection act nova scotia,1,63,1.59%,7.73
internet fraud,1,63,1.59%,48.33
anti fraud centre number,1,61,1.64%,6.03
associate deputy minister,1,61,1.64%,11.36
consumer protection complaint,1,60,1.67%,4.67
online fraud canada,1,60,1.67%,7.9
canadian initiatives,1,57,1.75%,4.6
mary ng canada,1,56,1.79%,9.14
anti-fraud,1,56,1.79%,10.3
ministre,1,55,1.82%,5.4
canada report fraud call,1,54,1.85%,3.44
consumer complaint canada,1,54,1.85%,3.72
ised canada jobs,1,54,1.85%,3.8
innovation ministry,1,53,1.89%,1.13
"minister of innovation, science, and economic development",1,53,1.89%,2.62
agence de promotion économique du canada atlantique,1,52,1.92%,5.23
scam report,1,52,1.92%,20.21
credit card complaints canada,1,51,1.96%,6.88
scam alert canada,1,51,1.96%,6.96
how to report false advertising in canada,1,50,2%,5.6
consumer protection laws ontario,1,50,2%,10.1
canada regional,1,49,2.04%,2.88
programs in canada,1,49,2.04%,6.08
pricing laws canada,1,49,2.04%,10.02
atteinte au droit d'auteur,1,48,2.08%,3.98
how to report identity theft canada,1,48,2.08%,7.85
federally regulated employers in canada,1,48,2.08%,11.12
ised カナダ,1,47,2.13%,5.38
broadcasting license canada,1,47,2.13%,6.06
report cra fraud,1,46,2.17%,6.93
canadian anti-fraud center,1,45,2.22%,3.84
thompson paul,1,45,2.22%,4.76
minister of technology canada,1,45,2.22%,5.96
public domain canada,1,45,2.22%,9.71
"innovation, science and industry canada",1,44,2.27%,1.66
stratexlead,1,43,2.33%,4.74
fraud report,1,43,2.33%,5.53
economic development association of canada,1,43,2.33%,5.7
ministre economie,1,43,2.33%,7.58
federally regulated companies,1,43,2.33%,9.47
internet fraud complaint center canada,1,42,2.38%,4.1
organization canada,1,42,2.38%,9.48
kirsty duncan minister,1,41,2.44%,6.24
1-800-282-1376,1,41,2.44%,9.9
report phishing canada,1,40,2.50%,5.67
reporting email scams canada,1,39,2.56%,4.23
ministre des sports canada,1,39,2.56%,6.36
canada policy,1,39,2.56%,9.49
cra fraud reporting centre,1,38,2.63%,5.61
canada minister of sport,1,38,2.63%,8.76
broadcasting regulations,1,37,2.70%,4.65
public consultation canada,1,37,2.70%,7
consumer protection office,1,37,2.70%,7.16
grc fraudes,1,37,2.70%,7.41
consumer protection ontario act,1,37,2.70%,9.78
where can i complain about a business,1,37,2.70%,11.03
consumer canada,1,36,2.78%,2.75
measurement canada offices,1,36,2.78%,3.47
other consumer services,1,36,2.78%,5.89
manitoba consumer protection act,1,36,2.78%,7.81
bains,1,35,2.86%,6.17
rcmp scams,1,35,2.86%,7.17
centre d'appel antifraude du canada,1,35,2.86%,7.57
canada anti-fraud centre,1,34,2.94%,4.21
report a phone scam canada,1,34,2.94%,4.35
ministre economie canada,1,33,3.03%,4.03
rda atlantic,1,33,3.03%,5.3
federal government agencies,1,33,3.03%,9.91
consumer protection ontario,1,33,3.03%,15.21
our organization,1,32,3.12%,5.28
reporting scams,1,32,3.12%,8.12
fraudes,1,30,3.33%,4.1
regional agency,1,30,3.33%,4.33
report false advertising canada,1,30,3.33%,6.2
canadian anti-fraud,1,29,3.45%,2.93
complaint about a business,1,29,3.45%,3.45
développement économique régional,1,29,3.45%,6.45
consumer and corporate affairs complaints,1,28,3.57%,2.71
fraud squad canada,1,28,3.57%,3.71
consumer canada complaints,1,28,3.57%,4.32
agence de développement,1,28,3.57%,4.43
report fraud calls canada,1,28,3.57%,4.54
anti fraud canada phone number,1,28,3.57%,4.75
consumer complaints quebec,1,28,3.57%,9.75
report business fraud canada,1,27,3.70%,3.93
ministre économie,1,27,3.70%,6.33
comment se sortir des dettes,1,27,3.70%,15.67
ensemble régionaux canada,1,26,3.85%,1.96
government of canada fraud reporting,1,26,3.85%,3.23
regional agencies,1,26,3.85%,4.38
minister navdeep bains,1,26,3.85%,7.5
economic development administration,1,26,3.85%,8.23
indusrty canada,1,25,4%,1.04
file a complaint against a company,1,25,4%,2.92
department of regional economic expansion,1,25,4%,4
canadian consumer complaints,1,25,4%,4.44
how to report scam emails in canada,1,25,4%,4.48
1-866-694-8389,1,24,4.17%,2.33
scam report canada,1,24,4.17%,3.62
consumer complaints bc,1,24,4.17%,11.04
used programs,1,23,4.35%,2.83
industry and economic development,1,23,4.35%,4.26
program support services government of canada,1,23,4.35%,5.78
fraud definition canada,1,23,4.35%,9.74
signaler une fraude,1,23,4.35%,10.78
industry consultation,1,22,4.55%,2.41
report phone scam,1,22,4.55%,5.14
lettre d'insatisfaction,1,22,4.55%,6.23
how to report a fraud,1,21,4.76%,1.19
science and innovation minister,1,21,4.76%,2.95
ministre technologie,1,21,4.76%,4
frauds in canada,1,21,4.76%,7.29
federal government programs,1,21,4.76%,7.62
grc fraude courriel,1,21,4.76%,7.67
comment écrire une plainte,1,21,4.76%,8
fraud or scam,1,20,5%,7.65
how to report a business,1,20,5%,9.45
navdeep bains office,1,20,5%,9.75
industry ministry,1,19,5.26%,2.63
complaint consumer protection,1,19,5.26%,3.58
8884958501,1,19,5.26%,4.47
consumer protection bureau,1,19,5.26%,5
minister of science and technology canada,1,19,5.26%,5.11
telecommunications tower,1,19,5.26%,7.16
report tax fraud canada,1,19,5.26%,8.79
session cookies vs persistent cookies,1,19,5.26%,9.58
paul.thompson,1,19,5.26%,10.89
ministry of industry and commerce,1,19,5.26%,13.47
stay connected,1,19,5.26%,50.53
consumer protection act bc,1,18,5.56%,10.5
alberta consumer protection act,1,18,5.56%,10.94
western economic diversification,1,18,5.56%,20.06
1-866-639-5014,1,17,5.88%,4.88
fraud rcmp,1,17,5.88%,5
government development programs,1,17,5.88%,5.47
ministre developpement economique,1,17,5.88%,6.94
how to report a scammer to the police,1,17,5.88%,7.06
industry trade and commerce,1,16,6.25%,1.75
canadian anti fraud agency,1,16,6.25%,3.38
canadian fraud center,1,16,6.25%,3.88
federal government initiatives,1,16,6.25%,3.88
paternité d'une oeuvre,1,16,6.25%,5.38
report cra scam email,1,16,6.25%,7.12
quebec economic development,1,16,6.25%,8.75
federally regulated industries in canada,1,16,6.25%,10.06
ised web,1,15,6.67%,1.8
federal department of industry,1,15,6.67%,1.87
canadian fraud reporting centre,1,15,6.67%,2.53
minister ng canada,1,15,6.67%,4.87
reporting fraud in ontario,1,15,6.67%,5.07
science minister,1,15,6.67%,6.2
ministry of sport canada,1,15,6.67%,9.13
canada revenue agency fraud reporting,1,15,6.67%,10.27
portfolio agencies,1,14,7.14%,3
phishing scams canada,1,14,7.14%,7.57
federally regulated businesses in canada,1,14,7.14%,8.21
consumer laws,1,14,7.14%,8.29
canada federally regulated employers,1,14,7.14%,9.29
ministry of technology,1,13,7.69%,2.38
151 tunney's pasture driveway,1,13,7.69%,3
exemple lettre de plainte mauvais service,1,13,7.69%,3.85
canadian anti fraud centre report,1,13,7.69%,3.92
consumer case,1,13,7.69%,4
how to report fraud email,1,13,7.69%,5.23
hauts fonctionnaires,1,13,7.69%,6.08
service canada fraud reporting,1,13,7.69%,6.46
economic development bank,1,13,7.69%,8.69
canadian federal departments,1,13,7.69%,12.46
economic development program,1,13,7.69%,18.23
report phone fraud canada,1,12,8.33%,2.83
how do i file a complaint against a company,1,12,8.33%,3
fraud company,1,12,8.33%,3.42
lettre de reclamation mauvais service,1,12,8.33%,3.83
how to file a complaint with consumer affairs,1,12,8.33%,4
agence régionale de développement,1,12,8.33%,4.33
canada complaints,1,12,8.33%,4.42
report a fraud,1,12,8.33%,4.83
new brunswick consumer protection act,1,12,8.33%,5
report a scam number,1,12,8.33%,5.75
reporting a scammer,1,12,8.33%,6
victim of fraud what to do,1,12,8.33%,7.08
report phishing text canada,1,12,8.33%,7.58
developpement economique quebec,1,12,8.33%,8.92
consumer protection office quebec,1,12,8.33%,10.42
reporting fraud to the police,1,12,8.33%,17.83
anti-fraud centre of canada,1,11,9.09%,4.09
where to report fraud,1,11,9.09%,4.91
reporting scams in canada,1,11,9.09%,5.18
report fraud number,1,11,9.09%,5.91
copyright permission,1,11,9.09%,11.45
ministry of industrial development,1,10,10%,1
victim of fraud,1,10,10%,3.1
what does industry canada do,1,10,10%,3.3
industry department,1,10,10%,3.6
minister of small business canada,1,10,10%,5.6
ced agency,1,10,10%,5.7
atteinte au droit d'auteur sanction,1,10,10%,5.9
canadaic scam,1,10,10%,6.1
report a fraud website,1,10,10%,6.4
consumer protection act new brunswick,1,10,10%,6.7
police fraud,1,10,10%,6.7
canada revenue fraud report,1,10,10%,7.5
fake@antifraudcentre,1,10,10%,7.8
lettre pour se plaindre,1,10,10%,7.8
canadian scams,1,10,10%,8.4
how to report threatening emails,1,10,10%,9.3
department of trade,1,10,10%,27.3
consumers rights,1,9,11.11%,3.89
what is consumer protection law,1,9,11.11%,4
police fraud reporting,1,9,11.11%,5.22
phone scam reporting canada,1,9,11.11%,7.11
comment ecrire une lettre de plainte,1,9,11.11%,7.33
regulated industries in canada,1,9,11.11%,10.33
regional,1,9,11.11%,26.89
to report a fraud/suspected fraud,1,8,12.50%,1.75
canadian consumer affairs,1,8,12.50%,2.62
bureau du surintendant des faillites,1,8,12.50%,2.75
agence de developpement,1,8,12.50%,3.12
fraud government of canada,1,8,12.50%,3.25
how to file a legal complaint against a company,1,8,12.50%,3.25
droit d'auteur logiciel salarié,1,8,12.50%,4
politique d'innovation,1,8,12.50%,4
telecommunication regulation,1,8,12.50%,4.12
senior official,1,8,12.50%,5
telecom regulations,1,8,12.50%,5
science technology,1,8,12.50%,5.25
government consumer protection,1,8,12.50%,5.5
twitter ised,1,8,12.50%,5.88
violation droit d'auteur sanction,1,8,12.50%,7.75
radio broadcasting rules and regulations,1,8,12.50%,7.88
カナダ,1,8,12.50%,113.88
ised victoria,1,7,14.29%,1.71
canada consumer protection laws,1,7,14.29%,2.14
email fraud canada,1,7,14.29%,3.86
how to report someone for fraud,1,7,14.29%,4.57
kennedy simon,1,7,14.29%,4.57
how to report cra fraud calls,1,7,14.29%,7.43
police fraud department,1,7,14.29%,8
canadian rural economic development strategy,1,7,14.29%,8.71
ontario consumer protection,1,7,14.29%,13.14
comment rediger une plainte,1,7,14.29%,14.57
report a company for fraud,1,7,14.29%,14.71
consumers protection,1,7,14.29%,16
canada contacts,1,7,14.29%,20
science rss feeds,1,7,14.29%,24.29
policy and research,1,7,14.29%,31.57
canada phone number,1,7,14.29%,75.43
ministre industrie,1,6,16.67%,2.33
complaint business,1,6,16.67%,3
logiciel droit d'auteur,1,6,16.67%,3
office of consumer affairs canada,1,6,16.67%,3
report consumer complaints,1,6,16.67%,3
who to complain to about a company,1,6,16.67%,3
where to report email scams in canada,1,6,16.67%,3.33
fraud contact number,1,6,16.67%,3.5
consumer price protection,1,6,16.67%,3.67
minister of business,1,6,16.67%,3.83
what is consumer protection,1,6,16.67%,4.67
cra report fraud call,1,6,16.67%,6.17
developpement regional,1,6,16.67%,6.17
government of canada complaints,1,6,16.67%,6.33
economic developement,1,6,16.67%,6.5
contact fraud,1,6,16.67%,6.67
canada revenue report fraud,1,6,16.67%,6.83
innovation economic growth,1,6,16.67%,6.83
government initiative,1,6,16.67%,7.67
rcmp phishing,1,6,16.67%,7.67
cra fraud department,1,6,16.67%,9.17
comment écrire une lettre de plainte,1,6,16.67%,9.83
une lettre de plainte exemple,1,6,16.67%,9.83
economic policy canada,1,6,16.67%,13.5
acoa careers,1,6,16.67%,27.83
non commercial use,1,6,16.67%,48
ised regina,1,5,20%,1.2
consumers rights canada,1,5,20%,2
science and technology canada,1,5,20%,3
portfolio department,1,5,20%,3.2
lettre porter plainte,1,5,20%,4
report scam number canada,1,5,20%,4
economic and regional development,1,5,20%,4.2
false advertising complaint,1,5,20%,4.6
fraud online reporting,1,5,20%,4.6
consumer protection act phone number,1,5,20%,5.4
lettre pour porter plainte,1,5,20%,5.6
what is regional development,1,5,20%,5.6
lettre de complainte,1,5,20%,6
consumer protection department,1,5,20%,6.8
consumer reporting agency canada,1,5,20%,7
se sortir des dettes,1,5,20%,7.2
when does copyright not apply,1,5,20%,7.2
mary ng ministre,1,5,20%,7.4
buyer remorse law canada,1,5,20%,8
session cookies and persistent cookies,1,5,20%,8.8
consumer law group,1,5,20%,9
how to report a threatening email,1,5,20%,9
canada tax fraud reporting,1,5,20%,9.2
how to file a complaint,1,5,20%,10.4
acoa jobs,1,5,20%,12.2
permission,1,5,20%,88.4
development agencies in canada,1,4,25%,1
simon kennedy biography,1,4,25%,1
how do you report fraud,1,4,25%,1.75
regional development association,1,4,25%,1.75
rda minister,1,4,25%,2.25
consumer protection laws in canada,1,4,25%,2.5
fraudulent emails reporting,1,4,25%,2.5
reporting suspected fraud,1,4,25%,2.5
regional development programme,1,4,25%,2.75
1-866-555-3020,1,4,25%,4
consumer protection bureau complaint,1,4,25%,4
reporting telephone scams canada,1,4,25%,5
list of federally regulated companies in canada 2018,1,4,25%,5.25
regional development authority,1,4,25%,5.5
phone number fraud,1,4,25%,5.75
car lease ombudsman,1,4,25%,6
reporting a scam phone call,1,4,25%,6
canada warranty law,1,4,25%,6.25
new government programs,1,4,25%,6.25
exemple d'une plainte,1,4,25%,6.5
economic forms,1,4,25%,6.75
government initiatives to promote entrepreneurship,1,4,25%,7
dette comment s'en sortir,1,4,25%,8.5
lettre de plainte au directeur,1,4,25%,10.75
report phishing,1,4,25%,16.75
report bad business practices,1,4,25%,26.5
penalties for breaking copyright law,1,3,33.33%,1
report a fraud canada,1,3,33.33%,1
can you report fraud to police,1,3,33.33%,1.67
consumer protection statutes,1,3,33.33%,2
rcmp fraud email address,1,3,33.33%,2.33
telephone consumer protection act canada,1,3,33.33%,3
fraud squad contact number,1,3,33.33%,3.33
how to report financial fraud,1,3,33.33%,3.33
regional economic development strategies,1,3,33.33%,3.33
report fraud scam,1,3,33.33%,3.33
organisme de développement économique,1,3,33.33%,3.67
how to file fraud,1,3,33.33%,4
